	1	2	3	4	5	6	7	8	9	10	11	12
cell108	0.043270834	0.029302482	0.52410984	0.054931775	0.04987942	0.050077733	0.023577202	0.04044827	0.045593377	0.04663001	0.007334749	0.068539344
cell109	0.06898003	0.037222464	0.6047938	0.0	0.06951335	0.070155144	0.0	0.06649218	0.0	0.09162492	0.001152669	0.0
cell110	0.004084307	0.10746434	0.53719425	0.07685936	0.058011163	0.062487338	0.06784489	0.042375866	0.0	0.025756964	0.0015086391	0.01210523
cell111	0.086943634	0.062676854	0.4654694	0.15395968	0.0	0.018458772	0.037897866	0.011566897	0.10107877	0.018988503	0.007970216	0.018342545
cell112	0.05961077	0.1039874	0.45231083	0.08433611	0.008930009	0.06359265	0.052632943	0.031849068	0.0923322	0.0241462	0.0	0.031023894
cell113	0.0711297	0.066257775	0.41861334	0.060254402	0.012696147	0.060407136	0.063047275	0.056610417	0.05323738	0.00075950805	0.024401171	0.09025586
cell114	0.0554549	0.064471796	0.48665926	0.042680882	0.0640011	0.049049187	0.04112348	0.05597386	0.052618567	0.019630993	0.02607745	0.043532256
cell115	0.031374246	0.0039317487	0.50216496	0.0629056	0.023174394	0.03805935	0.014913304	0.0	0.03613017	0.040083036	0.1797788	0.07046078
cell116	0.04173592	0.04436626	0.41049758	0.040486477	0.042733815	0.07125428	0.012790383	0.043449767	0.031516246	0.062288426	0.16119847	0.017083004
cell117	0.084791705	0.081824936	0.48347002	0.05109224	0.08836408	0.04695504	0.04977514	0.023683604	0.033370882	0.0	0.0140162455	0.04165384
cell118	0.014076704	0.06691842	0.560328	0.08916516	0.048265554	0.07019688	0.05193146	0.020267267	0.010031167	0.060943555	0.011100518	0.0060146074
cell119	0.019906096	0.038037326	0.6989243	0.043769255	0.025674311	0.03143454	0.0	0.049610693	0.0	0.049825564	0.026658533	0.022451116
cell120	0.04438376	0.07571472	0.49893394	0.049792018	0.074285455	0.021775367	0.009487779	0.018075578	0.0	0.006842701	0.16565081	0.046772677
cell121	0.06484901	0.06941025	0.51356643	0.048499268	0.022758985	0.033189338	0.003212509	0.056152426	0.007034021	0.049113937	0.13131487	0.0
